date,T,Precepitation(mm),Evaporation(m),Skin reservoir content(m),EC,TDS,pH,Ca,Mg,GW-level
10/22/2002,19.9,2.7,-7.05E-05,4.89E-06,585,350,7.7,3,1.3,1053.293611
11/22/2002,12.3,26.5,-0.000112324,2.66E-05,589,354,7.77,3.06,1.31,1053.232556
12/22/2002,7.4,38.5,-0.000143359,4.95E-05,590.0850959,356.7660323,7.816958573,3.070376581,1.317533595,1053.503312
1/22/2003,5.1,24.3,-9.58E-05,1.38E-05,598.4256099,350.7662774,7.786892818,3.031532265,1.278776187,1053.526578
2/22/2003,5.6,11.4,-0.000337037,3.35E-05,606.0053628,349.6009677,7.796718762,3.001814297,1.259394542,1053.698702
3/22/2003,5.8,3,-0.000515775,3.33E-05,613.4003388,347.8759021,7.806718006,2.974379312,1.241007301,1053.68241
4/22/2003,13.6,78.4,-0.000728724,3.82E-05,620.7491629,346.2160376,7.816718003,2.947519034,1.222671195,1054.155463
5/22/2003,22.5,8.9,-0.000855172,7.33E-06,633,344,7.83,2.9,1.2,1054.731968
6/22/2003,24.9,0,-0.000472435,4.85E-07,635.4207072,342.8820043,7.836718003,2.894124605,1.186004379,1054.670976
7/22/2003,27.3,0,-0.00027006,1.06E-08,629.3011799,343.3352521,7.870992646,2.924994348,1.113073281,1054.496327
8/22/2003,28.9,2.5,-0.000184245,4.04E-07,625.1759626,342.7749669,7.895580367,2.949773921,1.061894052,1053.791817
9/22/2003,26,0,-0.000110015,9.57E-08,621.5526353,342.332738,7.920126005,2.973018474,1.01183341,1053.19067
10/22/2003,22,0,-6.26E-05,5.50E-06,618.055614,341.876758,7.944671461,2.995876126,0.961830292,1053.1133
11/22/2003,13.4,6.6,-0.000110267,2.00E-05,614.590379,341.4223796,7.969216915,3.018636261,0.911830131,1052.643447
12/22/2003,4.9,75.7,-6.75E-05,5.20E-05,611.1331435,340.9678147,7.99376237,3.041371817,0.861830123,1052.857161
1/22/2004,4.2,4.7,-0.000157722,3.61E-05,607.677921,340.5132715,8.018307824,3.064101177,0.811830123,1053.070293
2/22/2004,5.8,44.3,-0.000277277,2.18E-05,604.2232052,340.0587258,8.042853279,3.086828976,0.761830123,1052.901814
3/22/2004,7.4,30.2,-0.000506465,2.31E-05,600.7686168,339.6041804,8.067398733,3.109556381,0.711830123,1053.036731
4/22/2004,11.8,56,-0.000811615,3.42E-05,595,339,8.1,3.15,0.65,1052.834364
5/22/2004,17.4,7.9,-0.000854919,1.27E-05,593.8595124,338.6950894,8.116489643,3.155010969,0.611830123,1053.185176
6/22/2004,23.4,13,-0.000531689,2.69E-07,597.4149422,339.3270057,8.019409018,3.219216111,0.691140616,1053.619244
7/22/2004,29.2,0,-0.000330036,3.99E-06,599.9311063,339.4394801,7.970863912,3.279029427,0.718933527,1053.335862
8/22/2004,28.1,0,-0.000183885,3.33E-07,602.1857278,339.6124591,7.922529659,3.337735788,0.744077152,1052.642811
9/22/2004,25.5,0,-0.00010204,1.11E-06,604.3745293,339.7783905,7.874196321,3.396163143,0.769084538,1052.140903
10/22/2004,20.6,1.2,-5.75E-05,1.36E-06,608,340,7.81,3.5,0.8,1052.024247
11/22/2004,12.4,9.3,-3.23E-05,2.94E-05,608.7148349,340.1117995,7.777529655,3.51285948,0.819084938,1052.389801
12/22/2004,6,28.7,-8.06E-05,3.84E-05,616.9093,345.2337927,7.87105127,3.410048392,0.795234308,1052.497192
1/22/2005,4.9,57.1,-0.000122357,3.35E-05,624.2099002,347.986623,7.907964931,3.324298883,0.790845875,1052.867855
2/22/2005,7.5,0.5,-0.000327655,0.000121447,631.2855495,351.0154133,7.944632671,3.242849726,0.787458283,1053.207194
3/22/2005,10.9,16.6,-0.000485462,3.41E-05,638.3045875,354.0120598,7.981299342,3.162484467,0.784122159,1053.100097
4/22/2005,13.1,55.6,-0.000772822,1.96E-05,650,358,8.03,3.02,0.78,1053.110243
5/22/2005,19,4.2,-0.000672969,1.20E-05,652.3105843,360.0124049,8.054632676,3.0023692,0.777455342,1053.53521
6/22/2005,24.6,1.2,-0.000389616,5.42E-07,644.1383523,378.7528556,7.97725909,2.982550385,0.834466905,1053.291839
7/22/2005,27,12.3,-0.000224121,4.85E-07,638.2153023,389.967728,7.945393858,2.956363126,0.86743693,1053.105043
8/22/2005,28.1,0,-0.000154582,1.22E-06,632.8582835,402.0591797,7.913726329,2.928570708,0.899170622,1052.98155
9/22/2005,26.4,0,-8.81E-05,1.70E-07,627.6437126,414.0485274,7.882059659,2.900373712,0.930840735,1052.229209
10/22/2005,20.5,0.5,-4.74E-05,1.58E-06,619,430,7.84,2.85,0.97,1052.618221
11/22/2005,14.6,30.9,-0.000102689,2.19E-05,617.2952897,438.0496236,7.818726325,2.84375007,0.994174255,1052.089309
12/22/2005,5.4,16.4,-7.29E-05,2.02E-05,613.4046091,418.5687497,7.749311143,2.831783136,1.008189014,1052.596069
1/22/2006,4.4,23.8,-5.84E-05,4.87E-05,609.3252149,414.1390017,7.694959702,2.818081868,1.029236331,1053.279042
2/22/2006,3.5,74.5,-0.000134301,4.63E-05,605.1983289,407.9560988,7.640673702,2.803943463,1.050645296,1053.71096
3/22/2006,7.8,41.5,-0.000622123,2.38E-05,601.0594911,401.9774033,7.586387986,2.789694877,1.072072859,1054.257917
4/22/2006,12.4,5.2,-0.000906307,2.09E-05,596.9176455,395.9749218,7.532102272,2.775418521,1.093501379,1053.870275
5/22/2006,19.8,20,-0.00067582,9.48E-06,590,388,7.46,2.75,1.12,1054.232902
6/22/2006,24.5,6.2,-0.00047276,9.92E-08,588.6322498,383.9751771,7.423530844,2.746850046,1.136358519,1054.587728
7/22/2006,29.5,0,-0.000300878,3.42E-06,564.7146365,345.3283314,7.582226228,2.500691856,1.011645707,1054.227396
8/22/2006,28.1,1.3,-0.000178039,1.03E-07,543.7287263,322.2900758,7.6559304,2.279085055,0.945155941,1053.744216
9/22/2006,25.6,1,-0.000107344,2.16E-07,523.4806112,297.4337318,7.729265345,2.063666404,0.881660289,1053.06202
10/22/2006,21.1,0,-5.73E-05,2.64E-05,503.4181704,272.7891588,7.802598685,1.849807469,0.818318608,1053.529324
11/22/2006,12.4,23.2,-0.000132461,2.21E-05,470,240,7.9,1.47,0.74,1053.763996
12/22/2006,7.8,1.5,-0.000103988,2.17E-05,463.3985019,223.4535517,7.949265352,1.422974934,0.69165149,1053.520898
1/22/2007,3.2,46.6,-3.56E-05,1.58E-05,495.5660875,294.3954813,7.939154598,1.658123658,0.783490748,1053.027943
2/22/2007,4.1,63.8,-0.000304126,3.01E-05,520.0001484,319.626566,7.96234264,1.845790904,0.813508907,1053.071033
3/22/2007,10.1,0,-0.000602492,4.94E-05,542.4879832,350.1820491,7.985675342,2.021490498,0.840347924,1053.435876
4/22/2007,15.6,34.9,-0.000740524,5.54E-05,564.486029,380.1173465,8.009008673,2.19417366,0.867023454,1054.213626
5/22/2007,21.3,33,-0.000542299,7.22E-06,601,420,8.04,2.5,0.9,1054.34441
6/22/2007,25.2,0,-0.000387883,3.71E-06,608.2045792,440.1240052,8.055675339,2.537827776,0.920357267,1054.198695
7/22/2007,29.1,1,-0.000229462,3.26E-07,623.5974063,424.6517097,8.017816342,2.703686168,0.987253866,1053.869592
8/22/2007,28.8,0,-0.000155773,3.65E-07,639.9434973,430.9198424,8.004376462,2.870149109,1.038122772,1053.327574
9/22/2007,25.8,0,-8.87E-05,5.78E-07,656.5294876,434.6556503,7.991042665,3.036764427,1.088167455,1052.999669
10/22/2007,21.4,17.8,-0.000105504,2.39E-06,673.1758511,438.6864234,7.97770933,3.203418152,1.138169753,1052.432867
11/22/2007,12.9,29.6,-0.000142024,1.86E-05,701,444,7.96,3.5,1.2,1052.631974
12/22/2007,4.1,7.5,-4.18E-05,2.93E-05,706.5027891,446.6832565,7.951042663,3.536747401,1.238169877,1052.673008
1/22/2008,1.8,29.9,-4.48E-05,0.000110708,696.7730774,441.938516,8.026716356,3.344233178,1.245066379,1052.878395
2/22/2008,3.4,38.5,-0.000241299,7.54E-05,690.9569632,441.3747033,8.066871334,3.189750443,1.269135409,1053.061155
3/22/2008,7.5,27,-0.000410257,9.59E-06,686.1257487,440.3238962,8.106872007,3.044853501,1.294087534,1053.145284
4/22/2008,12.6,53.5,-0.000819193,6.85E-06,681.5423949,439.3298142,8.14687201,2.902372648,1.319085072,1053.514429
5/22/2008,19.5,31.5,-0.000972598,2.99E-06,674,438,8.2,2.65,1.35,1053.798154
6/22/2008,26,0,-0.000552403,1.01E-06,672.516139,437.3292052,8.22687201,2.618782375,1.369084939,1053.875089
7/22/2008,28.1,9,-0.000303007,3.37E-07,677.9912721,432.2483396,8.197335271,2.787745424,1.164199617,1053.737012
8/22/2008,28.1,0,-0.000184029,1.03E-07,681.988336,429.1185588,8.195547528,2.92382626,1.050901108,1053.266902
9/22/2008,25.3,0,-0.000106298,6.45E-07,685.6134275,425.7615157,8.193880335,3.051619171,0.942312442,1052.7377
10/22/2008,18.5,0.5,-5.35E-05,1.05E-05,689.1449082,422.430944,8.192213666,3.177323122,0.833965978,1052.669105
11/22/2008,13.6,9,-6.38E-05,3.70E-05,695,418,8.19,3.4,0.7,1052.589923
12/22/2008,6.5,66.5,-9.94E-05,2.47E-05,696.1548244,415.7639932,8.188880333,3.427545272,0.617298601,1052.70801
1/22/2009,-3.8,46,-1.79E-06,1.44E-05,697.1612108,432.8349365,8.100988109,3.259387447,0.813563317,1052.911721
2/22/2009,-1.3,32.5,-0.000153247,3.84E-05,698.5369875,440.1505132,8.047504642,3.122262981,0.888475508,1053.196438
